year,month
2018,7
2018,7
2018,8
2019,2
2019,4
2019,5
2019,5
2019,5
2019,6
2019,6
2019,6
2019,6
2019,6
2019,7
2019,7
2019,7
2019,7
2019,7
2019,7
2019,7
2019,7
2019,7
2019,7
2019,7
2019,8
2019,8
2019,8
2019,8
2019,8
2019,8
2019,8
2019,8
2019,8
2019,9
2019,9
2019,9
2019,9
2019,9
2019,9
2019,9
2019,9
2019,9
2019,9
2019,9
2019,10
2019,10
2019,10
2019,10
2019,10
2019,11
2019,11
2019,11
2019,11
2019,11
2020,1
2020,1
2020,3
2020,3
2020,5
2020,6
2020,6
2020,7
2020,7
2020,7
2020,7
2020,7
2020,7
2020,7
2020,8
2020,8
2020,8
2020,8
2020,8
2020,8
2020,8
2020,8
2020,8
2020,9
2020,9
2020,9
2020,9
2020,11
2020,11
2021,2
2021,4
2021,4
2021,4
2021,4
2021,4
2021,4
2021,5
2021,5
2021,5
2021,6
2021,6
2021,7
2021,7
2021,7
2021,7
2021,7
2021,7
2021,7
2021,8
2021,8
2021,8
2021,8
2021,8
2021,9
2021,9
2021,9
2021,9
2021,9
2021,10
2021,10
2021,10
2022,5
2022,5
2022,7
2022,7
2022,7
2022,8
2022,8
2022,8
2022,8
2022,9
2022,9
2023,1
2023,3
2023,3
2023,5
2023,5
2023,5
2023,5
2023,5
2023,5
2023,5
2023,5
2023,6
2023,6
2023,6
2023,6
2023,6
2023,7
2023,7
2023,7
2023,7
2023,7
2023,7
2023,7
2023,7
2023,8
2023,8
2023,8
2023,8
2023,8
2023,8
2023,9
2023,9
2023,9
2023,9
2023,9
2023,9
2023,9
2023,9
2023,10
2023,10
2023,10
2023,10
2023,10
2023,10
2023,11
2023,11
2023,11
2023,12
2024,2
2024,2
2024,3
2024,5
2024,5
2024,5
2024,6
2024,6
2024,7
2024,7
2024,7
2024,7
2024,7
2024,7
2024,7
2024,8
2024,8
2024,8
2024,8
2024,8
2024,8
2024,8
2024,9
2024,9
2024,9
2024,9
2024,9
2024,9
2024,9
2024,9
2024,10
2024,10
2024,10
2024,10
2025,3
2025,4
2025,5
2025,5
2025,6
2025,6
2025,6
2025,6
2025,7
2025,7
2025,7
2025,7
2025,7
2025,7
2025,7
2025,7
2025,8
2025,8
2025,8
2025,9
2025,9
2025,9
2025,10
2025,10
